mes,mes_label,chapter,senioridade,etapa,ordem_etapa,candidatos
2026-04,Abr/2026,Data Science,Staff,Contratação,7,1
2026-05,Mai/2026,Data Science,Junior,Envio de Currículo,1,38
2026-05,Mai/2026,Data Science,Pleno,Envio de Currículo,1,46
2026-05,Mai/2026,Data Science,Senior,Envio de Currículo,1,30
2026-05,Mai/2026,Data Science,Staff,Envio de Currículo,1,6
2026-05,Mai/2026,Data Science,Junior,Entrevista Fit,2,15
2026-05,Mai/2026,Data Science,Pleno,Entrevista Fit,2,20
2026-05,Mai/2026,Data Science,Senior,Entrevista Fit,2,14
2026-05,Mai/2026,Data Science,Staff,Entrevista Fit,2,3
2026-05,Mai/2026,Data Science,Junior,Técnica 1,3,10
2026-05,Mai/2026,Data Science,Pleno,Técnica 1,3,13
2026-05,Mai/2026,Data Science,Senior,Técnica 1,3,9
2026-05,Mai/2026,Data Science,Staff,Técnica 1,3,2
2026-05,Mai/2026,Data Science,Junior,Técnica 2,4,6
2026-05,Mai/2026,Data Science,Pleno,Técnica 2,4,9
2026-05,Mai/2026,Data Science,Senior,Técnica 2,4,7
2026-05,Mai/2026,Data Science,Staff,Técnica 2,4,2
2026-05,Mai/2026,Data Science,Junior,Conversa com André,5,4
2026-05,Mai/2026,Data Science,Pleno,Conversa com André,5,6
2026-05,Mai/2026,Data Science,Senior,Conversa com André,5,5
2026-05,Mai/2026,Data Science,Staff,Conversa com André,5,1
2026-05,Mai/2026,Data Science,Junior,Oferta,6,3
2026-05,Mai/2026,Data Science,Pleno,Oferta,6,5
2026-05,Mai/2026,Data Science,Senior,Oferta,6,4
2026-05,Mai/2026,Data Science,Staff,Oferta,6,1
2026-05,Mai/2026,Data Science,Junior,Contratação,7,2
2026-05,Mai/2026,Data Science,Pleno,Contratação,7,3
2026-05,Mai/2026,Data Science,Senior,Contratação,7,3
2026-05,Mai/2026,Data Science,Staff,Contratação,7,1
2026-06,Jun/2026,Data Science,Junior,Envio de Currículo,1,40
2026-06,Jun/2026,Data Science,Pleno,Envio de Currículo,1,48
2026-06,Jun/2026,Data Science,Senior,Envio de Currículo,1,32
2026-06,Jun/2026,Data Science,Staff,Envio de Currículo,1,6
2026-06,Jun/2026,Data Science,Junior,Entrevista Fit,2,18
2026-06,Jun/2026,Data Science,Pleno,Entrevista Fit,2,22
2026-06,Jun/2026,Data Science,Senior,Entrevista Fit,2,15
2026-06,Jun/2026,Data Science,Staff,Entrevista Fit,2,3
2026-06,Jun/2026,Data Science,Junior,Técnica 1,3,11
2026-06,Jun/2026,Data Science,Pleno,Técnica 1,3,16
2026-06,Jun/2026,Data Science,Senior,Técnica 1,3,11
2026-06,Jun/2026,Data Science,Staff,Técnica 1,3,3
2026-06,Jun/2026,Data Science,Junior,Técnica 2,4,7
2026-06,Jun/2026,Data Science,Pleno,Técnica 2,4,10
2026-06,Jun/2026,Data Science,Senior,Técnica 2,4,7
2026-06,Jun/2026,Data Science,Staff,Técnica 2,4,2
2026-06,Jun/2026,Data Science,Junior,Conversa com André,5,4
2026-06,Jun/2026,Data Science,Pleno,Conversa com André,5,6
2026-06,Jun/2026,Data Science,Senior,Conversa com André,5,5
2026-06,Jun/2026,Data Science,Staff,Conversa com André,5,1
2026-06,Jun/2026,Data Science,Junior,Oferta,6,3
2026-06,Jun/2026,Data Science,Pleno,Oferta,6,4
2026-06,Jun/2026,Data Science,Senior,Oferta,6,4
2026-06,Jun/2026,Data Science,Staff,Oferta,6,1
2026-06,Jun/2026,Data Science,Junior,Contratação,7,1
2026-06,Jun/2026,Data Science,Pleno,Contratação,7,3
2026-06,Jun/2026,Data Science,Senior,Contratação,7,3
2026-06,Jun/2026,Data Science,Staff,Contratação,7,1
2026-03,Mar/2026,Data Engineering,Junior,Envio de Currículo,1,43
2026-03,Mar/2026,Data Engineering,Pleno,Envio de Currículo,1,51
2026-03,Mar/2026,Data Engineering,Senior,Envio de Currículo,1,34
2026-03,Mar/2026,Data Engineering,Staff,Envio de Currículo,1,7
2026-03,Mar/2026,Data Engineering,Junior,Entrevista Fit,2,18
2026-03,Mar/2026,Data Engineering,Pleno,Entrevista Fit,2,22
2026-03,Mar/2026,Data Engineering,Senior,Entrevista Fit,2,16
2026-03,Mar/2026,Data Engineering,Staff,Entrevista Fit,2,3
2026-03,Mar/2026,Data Engineering,Junior,Técnica 1,3,11
2026-03,Mar/2026,Data Engineering,Pleno,Técnica 1,3,15
2026-03,Mar/2026,Data Engineering,Senior,Técnica 1,3,11
2026-03,Mar/2026,Data Engineering,Staff,Técnica 1,3,3
2026-03,Mar/2026,Data Engineering,Junior,Técnica 2,4,7
2026-03,Mar/2026,Data Engineering,Pleno,Técnica 2,4,10
2026-03,Mar/2026,Data Engineering,Senior,Técnica 2,4,7
2026-03,Mar/2026,Data Engineering,Staff,Técnica 2,4,2
2026-03,Mar/2026,Data Engineering,Junior,Conversa com André,5,4
2026-03,Mar/2026,Data Engineering,Pleno,Conversa com André,5,7
2026-03,Mar/2026,Data Engineering,Senior,Conversa com André,5,5
2026-03,Mar/2026,Data Engineering,Staff,Conversa com André,5,1
2026-03,Mar/2026,Data Engineering,Junior,Oferta,6,3
2026-03,Mar/2026,Data Engineering,Pleno,Oferta,6,5
2026-03,Mar/2026,Data Engineering,Senior,Oferta,6,4
2026-03,Mar/2026,Data Engineering,Staff,Oferta,6,1
2026-03,Mar/2026,Data Engineering,Junior,Contratação,7,2
2026-03,Mar/2026,Data Engineering,Pleno,Contratação,7,3
2026-03,Mar/2026,Data Engineering,Senior,Contratação,7,3
2026-03,Mar/2026,Data Engineering,Staff,Contratação,7,1
2026-04,Abr/2026,Data Engineering,Junior,Envio de Currículo,1,45
2026-04,Abr/2026,Data Engineering,Pleno,Envio de Currículo,1,54
2026-04,Abr/2026,Data Engineering,Senior,Envio de Currículo,1,36
2026-04,Abr/2026,Data Engineering,Staff,Envio de Currículo,1,7
2026-04,Abr/2026,Data Engineering,Junior,Entrevista Fit,2,20
2026-04,Abr/2026,Data Engineering,Pleno,Entrevista Fit,2,25
2026-04,Abr/2026,Data Engineering,Senior,Entrevista Fit,2,17
2026-04,Abr/2026,Data Engineering,Staff,Entrevista Fit,2,4
2026-04,Abr/2026,Data Engineering,Junior,Técnica 1,3,14
2026-04,Abr/2026,Data Engineering,Pleno,Técnica 1,3,18
2026-04,Abr/2026,Data Engineering,Senior,Técnica 1,3,13
2026-04,Abr/2026,Data Engineering,Staff,Técnica 1,3,3
2026-04,Abr/2026,Data Engineering,Junior,Técnica 2,4,9
2026-04,Abr/2026,Data Engineering,Pleno,Técnica 2,4,13
2026-04,Abr/2026,Data Engineering,Senior,Técnica 2,4,10
2026-04,Abr/2026,Data Engineering,Staff,Técnica 2,4,2
2026-04,Abr/2026,Data Engineering,Junior,Conversa com André,5,5
2026-04,Abr/2026,Data Engineering,Pleno,Conversa com André,5,8
2026-04,Abr/2026,Data Engineering,Senior,Conversa com André,5,6
2026-04,Abr/2026,Data Engineering,Staff,Conversa com André,5,2
2026-04,Abr/2026,Data Engineering,Junior,Oferta,6,4
2026-04,Abr/2026,Data Engineering,Pleno,Oferta,6,7
2026-04,Abr/2026,Data Engineering,Senior,Oferta,6,5
2026-04,Abr/2026,Data Engineering,Staff,Oferta,6,1
2026-04,Abr/2026,Data Engineering,Junior,Contratação,7,2
2026-04,Abr/2026,Data Engineering,Pleno,Contratação,7,4
2026-04,Abr/2026,Data Engineering,Senior,Contratação,7,4
2026-04,Abr/2026,Data Engineering,Staff,Contratação,7,1
2026-05,Mai/2026,Data Engineering,Junior,Envio de Currículo,1,48
2026-05,Mai/2026,Data Engineering,Pleno,Envio de Currículo,1,57
2026-05,Mai/2026,Data Engineering,Senior,Envio de Currículo,1,38
2026-05,Mai/2026,Data Engineering,Staff,Envio de Currículo,1,7
2026-05,Mai/2026,Data Engineering,Junior,Entrevista Fit,2,19
2026-05,Mai/2026,Data Engineering,Pleno,Entrevista Fit,2,25
2026-05,Mai/2026,Data Engineering,Senior,Entrevista Fit,2,17
2026-05,Mai/2026,Data Engineering,Staff,Entrevista Fit,2,4
2026-05,Mai/2026,Data Engineering,Junior,Técnica 1,3,13
2026-05,Mai/2026,Data Engineering,Pleno,Técnica 1,3,17
2026-05,Mai/2026,Data Engineering,Senior,Técnica 1,3,12
2026-05,Mai/2026,Data Engineering,Staff,Técnica 1,3,3
2026-05,Mai/2026,Data Engineering,Junior,Técnica 2,4,8
2026-05,Mai/2026,Data Engineering,Pleno,Técnica 2,4,12
2026-05,Mai/2026,Data Engineering,Senior,Técnica 2,4,10
2026-05,Mai/2026,Data Engineering,Staff,Técnica 2,4,2
2026-05,Mai/2026,Data Engineering,Junior,Conversa com André,5,5
2026-05,Mai/2026,Data Engineering,Pleno,Conversa com André,5,8
2026-05,Mai/2026,Data Engineering,Senior,Conversa com André,5,6
2026-05,Mai/2026,Data Engineering,Staff,Conversa com André,5,1
2026-05,Mai/2026,Data Engineering,Junior,Oferta,6,4
2026-05,Mai/2026,Data Engineering,Pleno,Oferta,6,6
2026-05,Mai/2026,Data Engineering,Senior,Oferta,6,5
2026-05,Mai/2026,Data Engineering,Staff,Oferta,6,1
2026-05,Mai/2026,Data Engineering,Junior,Contratação,7,2
2026-05,Mai/2026,Data Engineering,Pleno,Contratação,7,5
2026-05,Mai/2026,Data Engineering,Senior,Contratação,7,4
2026-05,Mai/2026,Data Engineering,Staff,Contratação,7,1
2026-06,Jun/2026,Data Engineering,Junior,Envio de Currículo,1,51
2026-06,Jun/2026,Data Engineering,Pleno,Envio de Currículo,1,60
2026-06,Jun/2026,Data Engineering,Senior,Envio de Currículo,1,39
2026-06,Jun/2026,Data Engineering,Staff,Envio de Currículo,1,8
2026-06,Jun/2026,Data Engineering,Junior,Entrevista Fit,2,20
2026-06,Jun/2026,Data Engineering,Pleno,Entrevista Fit,2,25
2026-06,Jun/2026,Data Engineering,Senior,Entrevista Fit,2,17
2026-06,Jun/2026,Data Engineering,Staff,Entrevista Fit,2,4
2026-06,Jun/2026,Data Engineering,Junior,Técnica 1,3,13
2026-06,Jun/2026,Data Engineering,Pleno,Técnica 1,3,18
2026-06,Jun/2026,Data Engineering,Senior,Técnica 1,3,13
2026-06,Jun/2026,Data Engineering,Staff,Técnica 1,3,3
2026-06,Jun/2026,Data Engineering,Junior,Técnica 2,4,8
2026-06,Jun/2026,Data Engineering,Pleno,Técnica 2,4,11
2026-06,Jun/2026,Data Engineering,Senior,Técnica 2,4,9
2026-06,Jun/2026,Data Engineering,Staff,Técnica 2,4,2
2026-06,Jun/2026,Data Engineering,Junior,Conversa com André,5,4
2026-06,Jun/2026,Data Engineering,Pleno,Conversa com André,5,7
2026-06,Jun/2026,Data Engineering,Senior,Conversa com André,5,6
2026-06,Jun/2026,Data Engineering,Staff,Conversa com André,5,1
2026-06,Jun/2026,Data Engineering,Junior,Oferta,6,3
2026-06,Jun/2026,Data Engineering,Pleno,Oferta,6,6
2026-06,Jun/2026,Data Engineering,Senior,Oferta,6,5
2026-06,Jun/2026,Data Engineering,Staff,Oferta,6,1
2026-06,Jun/2026,Data Engineering,Junior,Contratação,7,2
2026-06,Jun/2026,Data Engineering,Pleno,Contratação,7,4
2026-06,Jun/2026,Data Engineering,Senior,Contratação,7,3
2026-06,Jun/2026,Data Engineering,Staff,Contratação,7,1
2026-03,Mar/2026,Analytics Engineering,Junior,Envio de Currículo,1,20
2026-03,Mar/2026,Analytics Engineering,Pleno,Envio de Currículo,1,24
2026-03,Mar/2026,Analytics Engineering,Senior,Envio de Currículo,1,16
2026-03,Mar/2026,Analytics Engineering,Staff,Envio de Currículo,1,3
2026-03,Mar/2026,Analytics Engineering,Junior,Entrevista Fit,2,9
2026-03,Mar/2026,Analytics Engineering,Pleno,Entrevista Fit,2,11
2026-03,Mar/2026,Analytics Engineering,Senior,Entrevista Fit,2,8
2026-03,Mar/2026,Analytics Engineering,Staff,Entrevista Fit,2,1
2026-03,Mar/2026,Analytics Engineering,Junior,Técnica 1,3,6
2026-03,Mar/2026,Analytics Engineering,Pleno,Técnica 1,3,8
2026-03,Mar/2026,Analytics Engineering,Senior,Técnica 1,3,6
2026-03,Mar/2026,Analytics Engineering,Staff,Técnica 1,3,1
2026-03,Mar/2026,Analytics Engineering,Junior,Técnica 2,4,4
2026-03,Mar/2026,Analytics Engineering,Pleno,Técnica 2,4,6
2026-03,Mar/2026,Analytics Engineering,Senior,Técnica 2,4,4
2026-03,Mar/2026,Analytics Engineering,Staff,Técnica 2,4,1
2026-03,Mar/2026,Analytics Engineering,Junior,Conversa com André,5,2
2026-03,Mar/2026,Analytics Engineering,Pleno,Conversa com André,5,4
2026-03,Mar/2026,Analytics Engineering,Senior,Conversa com André,5,3
2026-03,Mar/2026,Analytics Engineering,Staff,Conversa com André,5,1
2026-03,Mar/2026,Analytics Engineering,Junior,Oferta,6,1
2026-03,Mar/2026,Analytics Engineering,Pleno,Oferta,6,3
2026-03,Mar/2026,Analytics Engineering,Senior,Oferta,6,2
2026-03,Mar/2026,Analytics Engineering,Staff,Oferta,6,1
2026-03,Mar/2026,Analytics Engineering,Junior,Contratação,7,1
2026-03,Mar/2026,Analytics Engineering,Pleno,Contratação,7,2
2026-03,Mar/2026,Analytics Engineering,Senior,Contratação,7,2
2026-03,Mar/2026,Analytics Engineering,Staff,Contratação,7,0
2026-04,Abr/2026,Analytics Engineering,Junior,Envio de Currículo,1,21
2026-04,Abr/2026,Analytics Engineering,Pleno,Envio de Currículo,1,25
2026-04,Abr/2026,Analytics Engineering,Senior,Envio de Currículo,1,17
2026-04,Abr/2026,Analytics Engineering,Staff,Envio de Currículo,1,3
2026-04,Abr/2026,Analytics Engineering,Junior,Entrevista Fit,2,10
2026-04,Abr/2026,Analytics Engineering,Pleno,Entrevista Fit,2,12
2026-04,Abr/2026,Analytics Engineering,Senior,Entrevista Fit,2,9
2026-04,Abr/2026,Analytics Engineering,Staff,Entrevista Fit,2,2
2026-04,Abr/2026,Analytics Engineering,Junior,Técnica 1,3,6
2026-04,Abr/2026,Analytics Engineering,Pleno,Técnica 1,3,8
2026-04,Abr/2026,Analytics Engineering,Senior,Técnica 1,3,6
2026-04,Abr/2026,Analytics Engineering,Staff,Técnica 1,3,2
2026-04,Abr/2026,Analytics Engineering,Junior,Técnica 2,4,4
2026-04,Abr/2026,Analytics Engineering,Pleno,Técnica 2,4,5
2026-04,Abr/2026,Analytics Engineering,Senior,Técnica 2,4,4
2026-04,Abr/2026,Analytics Engineering,Staff,Técnica 2,4,1
2026-04,Abr/2026,Analytics Engineering,Junior,Conversa com André,5,2
2026-04,Abr/2026,Analytics Engineering,Pleno,Conversa com André,5,4
2026-04,Abr/2026,Analytics Engineering,Senior,Conversa com André,5,3
2026-04,Abr/2026,Analytics Engineering,Staff,Conversa com André,5,1
2026-04,Abr/2026,Analytics Engineering,Junior,Oferta,6,2
2026-04,Abr/2026,Analytics Engineering,Pleno,Oferta,6,3
2026-04,Abr/2026,Analytics Engineering,Senior,Oferta,6,2
2026-04,Abr/2026,Analytics Engineering,Staff,Oferta,6,1
2026-04,Abr/2026,Analytics Engineering,Junior,Contratação,7,1
2026-04,Abr/2026,Analytics Engineering,Pleno,Contratação,7,2
2026-04,Abr/2026,Analytics Engineering,Senior,Contratação,7,2
2026-04,Abr/2026,Analytics Engineering,Staff,Contratação,7,0
2026-05,Mai/2026,Analytics Engineering,Junior,Envio de Currículo,1,22
2026-05,Mai/2026,Analytics Engineering,Pleno,Envio de Currículo,1,27
2026-05,Mai/2026,Analytics Engineering,Senior,Envio de Currículo,1,18
2026-05,Mai/2026,Analytics Engineering,Staff,Envio de Currículo,1,3
2026-05,Mai/2026,Analytics Engineering,Junior,Entrevista Fit,2,10
2026-05,Mai/2026,Analytics Engineering,Pleno,Entrevista Fit,2,12
2026-05,Mai/2026,Analytics Engineering,Senior,Entrevista Fit,2,8
2026-05,Mai/2026,Analytics Engineering,Staff,Entrevista Fit,2,2
2026-05,Mai/2026,Analytics Engineering,Junior,Técnica 1,3,6
2026-05,Mai/2026,Analytics Engineering,Pleno,Técnica 1,3,8
2026-05,Mai/2026,Analytics Engineering,Senior,Técnica 1,3,6
2026-05,Mai/2026,Analytics Engineering,Staff,Técnica 1,3,2
2026-05,Mai/2026,Analytics Engineering,Junior,Técnica 2,4,4
2026-05,Mai/2026,Analytics Engineering,Pleno,Técnica 2,4,6
2026-05,Mai/2026,Analytics Engineering,Senior,Técnica 2,4,4
2026-05,Mai/2026,Analytics Engineering,Staff,Técnica 2,4,1
2026-05,Mai/2026,Analytics Engineering,Junior,Conversa com André,5,2
2026-05,Mai/2026,Analytics Engineering,Pleno,Conversa com André,5,4
2026-05,Mai/2026,Analytics Engineering,Senior,Conversa com André,5,3
2026-05,Mai/2026,Analytics Engineering,Staff,Conversa com André,5,1
2026-05,Mai/2026,Analytics Engineering,Junior,Oferta,6,2
2026-05,Mai/2026,Analytics Engineering,Pleno,Oferta,6,3
2026-05,Mai/2026,Analytics Engineering,Senior,Oferta,6,3
2026-05,Mai/2026,Analytics Engineering,Staff,Oferta,6,1
2026-05,Mai/2026,Analytics Engineering,Junior,Contratação,7,1
2026-05,Mai/2026,Analytics Engineering,Pleno,Contratação,7,2
2026-05,Mai/2026,Analytics Engineering,Senior,Contratação,7,2
2026-05,Mai/2026,Analytics Engineering,Staff,Contratação,7,1
2026-06,Jun/2026,Analytics Engineering,Junior,Envio de Currículo,1,24
2026-06,Jun/2026,Analytics Engineering,Pleno,Envio de Currículo,1,28
2026-06,Jun/2026,Analytics Engineering,Senior,Envio de Currículo,1,18
2026-06,Jun/2026,Analytics Engineering,Staff,Envio de Currículo,1,4
2026-06,Jun/2026,Analytics Engineering,Junior,Entrevista Fit,2,11
2026-06,Jun/2026,Analytics Engineering,Pleno,Entrevista Fit,2,14
2026-06,Jun/2026,Analytics Engineering,Senior,Entrevista Fit,2,9
2026-06,Jun/2026,Analytics Engineering,Staff,Entrevista Fit,2,2
2026-06,Jun/2026,Analytics Engineering,Junior,Técnica 1,3,7
2026-06,Jun/2026,Analytics Engineering,Pleno,Técnica 1,3,9
2026-06,Jun/2026,Analytics Engineering,Senior,Técnica 1,3,7
2026-06,Jun/2026,Analytics Engineering,Staff,Técnica 1,3,2
2026-06,Jun/2026,Analytics Engineering,Junior,Técnica 2,4,5
2026-06,Jun/2026,Analytics Engineering,Pleno,Técnica 2,4,7
2026-06,Jun/2026,Analytics Engineering,Senior,Técnica 2,4,5
2026-06,Jun/2026,Analytics Engineering,Staff,Técnica 2,4,1
2026-06,Jun/2026,Analytics Engineering,Junior,Conversa com André,5,3
2026-06,Jun/2026,Analytics Engineering,Pleno,Conversa com André,5,4
2026-06,Jun/2026,Analytics Engineering,Senior,Conversa com André,5,3
2026-06,Jun/2026,Analytics Engineering,Staff,Conversa com André,5,1
2026-06,Jun/2026,Analytics Engineering,Junior,Oferta,6,2
2026-06,Jun/2026,Analytics Engineering,Pleno,Oferta,6,3
2026-06,Jun/2026,Analytics Engineering,Senior,Oferta,6,3
2026-06,Jun/2026,Analytics Engineering,Staff,Oferta,6,1
2026-06,Jun/2026,Analytics Engineering,Junior,Contratação,7,1
2026-06,Jun/2026,Analytics Engineering,Pleno,Contratação,7,2
2026-06,Jun/2026,Analytics Engineering,Senior,Contratação,7,2
2026-06,Jun/2026,Analytics Engineering,Staff,Contratação,7,1
2026-03,Mar/2026,Data Consultant,Junior,Envio de Currículo,1,17
2026-03,Mar/2026,Data Consultant,Pleno,Envio de Currículo,1,21
2026-03,Mar/2026,Data Consultant,Senior,Envio de Currículo,1,13
2026-03,Mar/2026,Data Consultant,Staff,Envio de Currículo,1,3
2026-03,Mar/2026,Data Consultant,Junior,Entrevista Fit,2,7
2026-03,Mar/2026,Data Consultant,Pleno,Entrevista Fit,2,9
2026-03,Mar/2026,Data Consultant,Senior,Entrevista Fit,2,6
2026-03,Mar/2026,Data Consultant,Staff,Entrevista Fit,2,1
2026-03,Mar/2026,Data Consultant,Junior,Técnica 1,3,5
2026-03,Mar/2026,Data Consultant,Pleno,Técnica 1,3,6
2026-03,Mar/2026,Data Consultant,Senior,Técnica 1,3,4
2026-03,Mar/2026,Data Consultant,Staff,Técnica 1,3,1
2026-03,Mar/2026,Data Consultant,Junior,Técnica 2,4,3
2026-03,Mar/2026,Data Consultant,Pleno,Técnica 2,4,4
2026-03,Mar/2026,Data Consultant,Senior,Técnica 2,4,3
2026-03,Mar/2026,Data Consultant,Staff,Técnica 2,4,1
2026-03,Mar/2026,Data Consultant,Junior,Conversa com André,5,2
2026-03,Mar/2026,Data Consultant,Pleno,Conversa com André,5,3
2026-03,Mar/2026,Data Consultant,Senior,Conversa com André,5,2
2026-03,Mar/2026,Data Consultant,Staff,Conversa com André,5,0
2026-03,Mar/2026,Data Consultant,Junior,Oferta,6,1
2026-03,Mar/2026,Data Consultant,Pleno,Oferta,6,2
2026-03,Mar/2026,Data Consultant,Senior,Oferta,6,2
2026-03,Mar/2026,Data Consultant,Staff,Oferta,6,1
2026-03,Mar/2026,Data Consultant,Junior,Contratação,7,1
2026-03,Mar/2026,Data Consultant,Pleno,Contratação,7,2
2026-03,Mar/2026,Data Consultant,Senior,Contratação,7,1
2026-03,Mar/2026,Data Consultant,Staff,Contratação,7,0
2026-04,Abr/2026,Data Consultant,Junior,Envio de Currículo,1,18
2026-04,Abr/2026,Data Consultant,Pleno,Envio de Currículo,1,22
2026-04,Abr/2026,Data Consultant,Senior,Envio de Currículo,1,14
2026-04,Abr/2026,Data Consultant,Staff,Envio de Currículo,1,3
2026-04,Abr/2026,Data Consultant,Junior,Entrevista Fit,2,7
2026-04,Abr/2026,Data Consultant,Pleno,Entrevista Fit,2,9
2026-04,Abr/2026,Data Consultant,Senior,Entrevista Fit,2,6
2026-04,Abr/2026,Data Consultant,Staff,Entrevista Fit,2,2
2026-04,Abr/2026,Data Consultant,Junior,Técnica 1,3,5
2026-04,Abr/2026,Data Consultant,Pleno,Técnica 1,3,6
2026-04,Abr/2026,Data Consultant,Senior,Técnica 1,3,4
2026-04,Abr/2026,Data Consultant,Staff,Técnica 1,3,1
2026-04,Abr/2026,Data Consultant,Junior,Técnica 2,4,2
2026-04,Abr/2026,Data Consultant,Pleno,Técnica 2,4,4
2026-04,Abr/2026,Data Consultant,Senior,Técnica 2,4,3
2026-04,Abr/2026,Data Consultant,Staff,Técnica 2,4,1
2026-04,Abr/2026,Data Consultant,Junior,Conversa com André,5,2
2026-04,Abr/2026,Data Consultant,Pleno,Conversa com André,5,3
2026-04,Abr/2026,Data Consultant,Senior,Conversa com André,5,2
2026-04,Abr/2026,Data Consultant,Staff,Conversa com André,5,0
2026-04,Abr/2026,Data Consultant,Junior,Oferta,6,1
2026-04,Abr/2026,Data Consultant,Pleno,Oferta,6,2
2026-04,Abr/2026,Data Consultant,Senior,Oferta,6,2
2026-04,Abr/2026,Data Consultant,Staff,Oferta,6,0
2026-04,Abr/2026,Data Consultant,Junior,Contratação,7,1
2026-04,Abr/2026,Data Consultant,Pleno,Contratação,7,2
2026-04,Abr/2026,Data Consultant,Senior,Contratação,7,1
2026-04,Abr/2026,Data Consultant,Staff,Contratação,7,0
2026-05,Mai/2026,Data Consultant,Junior,Envio de Currículo,1,19
2026-05,Mai/2026,Data Consultant,Pleno,Envio de Currículo,1,23
2026-05,Mai/2026,Data Consultant,Senior,Envio de Currículo,1,15
2026-05,Mai/2026,Data Consultant,Staff,Envio de Currículo,1,3
2026-05,Mai/2026,Data Consultant,Junior,Entrevista Fit,2,8
2026-05,Mai/2026,Data Consultant,Pleno,Entrevista Fit,2,10
2026-05,Mai/2026,Data Consultant,Senior,Entrevista Fit,2,7
2026-05,Mai/2026,Data Consultant,Staff,Entrevista Fit,2,2
2026-05,Mai/2026,Data Consultant,Junior,Técnica 1,3,6
2026-05,Mai/2026,Data Consultant,Pleno,Técnica 1,3,8
2026-05,Mai/2026,Data Consultant,Senior,Técnica 1,3,5
2026-05,Mai/2026,Data Consultant,Staff,Técnica 1,3,1
2026-05,Mai/2026,Data Consultant,Junior,Técnica 2,4,3
2026-05,Mai/2026,Data Consultant,Pleno,Técnica 2,4,5
